timestamp,mode,keygen,sign,verify,rejections,ntru_timing,gauss_timing,fft_timing
2025-07-18 18:06:08,512,29.492,6.846,0.056,0.0000,15.207,5.881,7.823
2025-07-18 18:06:10,512,27.653,6.902,0.060,0.0000,14.776,5.208,7.110
