timestamp,mode,keygen,sign,verify
2025-05-19 13:39:55,256s,2323.534,26055.286,39.496
2025-05-19 13:40:24,256s,2322.263,26058.203,40.320
2025-05-19 13:40:53,256s,2325.710,26224.051,40.030
2025-05-19 13:41:23,256s,2322.976,26022.487,40.228
2025-05-19 13:41:52,256s,2325.979,26096.973,40.038
2025-05-19 13:42:21,256s,2324.686,26019.259,40.284
2025-05-19 13:42:50,256s,2324.076,26104.305,40.434
2025-05-19 13:43:19,256s,2319.119,26012.780,40.640
2025-05-19 13:43:48,256s,2329.100,26109.382,40.607
2025-05-19 13:44:17,256s,2316.746,26002.387,40.689
2025-05-19 13:44:47,256s,2331.922,26091.606,40.430
2025-05-19 13:45:16,256s,2316.393,26021.588,40.387
2025-05-19 13:45:45,256s,2326.284,26046.485,40.186
2025-05-19 13:46:14,256s,2327.876,26108.047,43.450
2025-05-19 13:46:43,256s,2360.726,26060.345,40.987
2025-05-19 13:47:12,256s,2325.043,26085.111,40.492
2025-05-19 13:47:42,256s,2317.485,26012.064,41.514
2025-05-19 13:48:11,256s,2323.695,26091.218,40.988
2025-05-19 13:48:40,256s,2321.366,26023.227,40.661
2025-05-19 13:49:09,256s,2321.265,26070.679,40.474
2025-05-19 13:49:38,256s,2328.343,26030.517,40.234
2025-05-19 13:50:07,256s,2322.190,26054.157,40.553
2025-05-19 13:50:36,256s,2319.965,26076.213,40.804
2025-05-19 13:51:06,256s,2329.131,26049.377,40.210
2025-05-19 13:51:35,256s,2327.524,26073.009,40.851
2025-05-19 13:52:04,256s,2315.784,26093.787,40.425
2025-05-19 13:52:33,256s,2340.511,26098.531,41.052
2025-05-19 13:53:02,256s,2322.948,26010.710,40.187
2025-05-19 13:53:31,256s,2327.001,26109.790,40.232
2025-05-19 13:54:01,256s,2320.585,26001.544,40.525
2025-05-19 13:54:30,256s,2322.382,26130.021,40.381
2025-05-19 13:54:59,256s,2327.454,26054.838,40.226
2025-05-19 13:55:28,256s,2331.882,26085.865,40.484
2025-05-19 13:55:57,256s,2319.320,26054.231,40.039
2025-05-19 13:56:26,256s,2322.641,26067.477,40.872
2025-05-19 13:56:56,256s,2341.128,26077.649,40.937
2025-05-19 13:57:25,256s,2343.926,26104.149,40.313
2025-05-19 13:57:54,256s,2315.515,25978.770,39.792
2025-05-19 13:58:23,256s,2326.148,26054.378,40.217
2025-05-19 13:58:52,256s,2322.329,26100.347,40.466
2025-05-19 13:59:21,256s,2315.586,26010.903,40.001
2025-05-19 13:59:50,256s,2327.423,26087.341,40.082
2025-05-19 14:00:20,256s,2313.954,26022.131,40.134
2025-05-19 14:00:49,256s,2321.704,26103.286,41.162
2025-05-19 14:01:18,256s,2326.536,26040.513,40.450
2025-05-19 14:01:47,256s,2320.306,26055.729,40.503
2025-05-19 14:02:16,256s,2322.778,26099.521,40.208
2025-05-19 14:02:45,256s,2321.361,26042.231,40.744
2025-05-19 14:03:14,256s,2333.955,26121.207,40.500
2025-05-19 14:03:44,256s,2321.917,26015.606,40.599
2025-05-19 14:04:13,256s,2322.826,26138.599,40.060
2025-05-19 14:04:42,256s,2317.717,25996.540,39.718
2025-05-19 14:05:11,256s,2330.112,26118.924,40.968
2025-05-19 14:05:40,256s,2320.809,26007.017,40.533
2025-05-19 14:06:09,256s,2334.571,26082.762,40.664
2025-05-19 14:06:38,256s,2325.418,26056.073,39.981
2025-05-19 14:07:08,256s,2322.370,26048.697,40.290
2025-05-19 14:07:37,256s,2343.710,26098.803,39.461
2025-05-19 14:08:06,256s,2315.824,26024.945,40.787
2025-05-19 14:08:35,256s,2322.319,26109.194,39.739
2025-05-19 14:09:04,256s,2319.621,25982.184,41.164
2025-05-19 14:09:33,256s,2324.220,26097.992,40.134
2025-05-19 14:10:03,256s,2325.438,26072.313,40.572
2025-05-19 14:10:32,256s,2326.452,26104.146,41.180
2025-05-19 14:11:01,256s,2320.210,26049.328,40.335
2025-05-19 14:11:30,256s,2326.267,26084.207,41.276
2025-05-19 14:11:59,256s,2327.636,26125.794,40.368
2025-05-19 14:12:28,256s,2323.633,25992.490,40.838
2025-05-19 14:12:58,256s,2319.883,26073.094,40.235
2025-05-19 14:13:27,256s,2317.778,26032.060,39.816
2025-05-19 14:13:56,256s,2342.591,26090.231,40.288
2025-05-19 14:14:25,256s,2318.543,26044.009,40.284
2025-05-19 14:14:54,256s,2326.044,26130.921,40.187
2025-05-19 14:15:23,256s,2319.050,26013.863,40.146
2025-05-19 14:15:53,256s,2328.225,26107.252,40.561
2025-05-19 14:16:22,256s,2319.096,26059.854,40.548
2025-05-19 14:16:51,256s,2323.513,26047.026,40.274
2025-05-19 14:17:20,256s,2320.765,26038.590,40.282
2025-05-19 14:17:49,256s,2328.575,26037.194,40.281
2025-05-19 14:18:18,256s,2324.811,26087.518,40.391
2025-05-19 14:18:47,256s,2327.106,26072.075,40.163
2025-05-19 14:19:17,256s,2334.645,26140.047,40.255
2025-05-19 14:19:46,256s,2327.911,26028.366,40.810
2025-05-19 14:20:15,256s,2326.141,26115.125,40.679
2025-05-19 14:20:44,256s,2315.256,25992.780,39.923
2025-05-19 14:21:13,256s,2329.365,26096.051,40.663
2025-05-19 14:21:42,256s,2324.315,26096.106,40.240
2025-05-19 14:22:11,256s,2318.779,25977.473,40.098
2025-05-19 14:22:41,256s,2324.653,26039.459,40.267
2025-05-19 14:23:10,256s,2324.188,26074.694,40.121
2025-05-19 14:23:39,256s,2325.704,26078.252,40.591
2025-05-19 14:24:08,256s,2327.241,26051.030,40.340
2025-05-19 14:24:37,256s,2322.675,26093.131,40.455
2025-05-19 14:25:06,256s,2334.776,25984.159,39.791
2025-05-19 14:25:35,256s,2332.296,26112.044,40.572
2025-05-19 14:26:05,256s,2320.444,26031.087,39.763
2025-05-19 14:26:34,256s,2324.571,26098.549,39.885
2025-05-19 14:27:03,256s,2347.913,26074.003,41.669
2025-05-19 14:27:32,256s,2330.520,26014.590,40.252
2025-05-19 14:28:01,256s,2330.731,26049.305,39.808
