timestamp,mode,keygen,sign,verify,high_rej,low_rej
2025-06-13 23:02:05,512,16.102,4.079,0.038,0.0000,757.5000
2025-06-13 23:02:06,512,16.076,4.035,0.037,0.0000,757.5000
2025-06-13 23:02:07,512,16.144,3.982,0.038,0.0000,757.5000
2025-06-13 23:02:08,512,16.261,4.012,0.036,0.0000,757.5000
2025-06-13 23:02:10,512,16.745,4.108,0.036,0.0000,757.5000
2025-06-13 23:02:11,512,15.977,3.998,0.036,0.0000,757.5000
2025-06-13 23:02:12,512,19.781,4.686,0.052,0.0000,757.5000
2025-06-13 23:02:13,512,16.844,4.098,0.038,0.0000,757.5000
2025-06-13 23:02:15,512,16.756,4.351,0.037,0.0000,757.5000
2025-06-13 23:02:16,512,17.043,4.138,0.038,0.0000,757.5000
2025-06-13 23:02:17,512,16.280,4.069,0.036,0.0000,757.5000
2025-06-13 23:02:18,512,18.016,4.615,0.046,0.0000,757.5000
2025-06-13 23:02:19,512,17.868,4.467,0.038,0.0000,757.5000
2025-06-13 23:02:20,512,15.979,3.951,0.038,0.0000,757.5000
2025-06-13 23:02:21,512,16.478,3.980,0.036,0.0000,757.5000
2025-06-13 23:02:23,512,16.101,4.008,0.035,0.0000,757.5000
2025-06-13 23:02:24,512,18.474,4.420,0.038,0.0000,757.5000
2025-06-13 23:02:25,512,17.630,4.327,0.095,0.0000,757.5000
2025-06-13 23:02:27,512,17.905,4.668,0.051,0.0000,757.5000
2025-06-13 23:02:28,512,16.326,3.966,0.037,0.0000,757.5000
2025-06-13 23:02:29,512,16.510,4.131,0.039,0.0000,757.5000
2025-06-13 23:02:30,512,16.226,3.958,0.037,0.0000,757.5000
2025-06-13 23:02:31,512,15.946,4.007,0.041,0.0000,757.5000
2025-06-13 23:02:32,512,16.632,4.130,0.043,0.0000,757.5000
2025-06-13 23:02:34,512,16.133,4.222,0.036,0.0000,757.5000
2025-06-13 23:02:35,512,15.887,3.962,0.036,0.0000,757.5000
