timestamp,mode,keygen,sign,verify
2025-04-21 17:42:33,192s,1680.291,15038.267,12.430
2025-04-21 17:42:50,192s,1667.078,15076.782,12.301
2025-04-21 17:43:05,192s,1632.024,14744.386,12.220
2025-04-21 17:43:22,192s,1677.423,14793.893,12.485
2025-04-21 17:43:37,192s,1655.376,14988.252,12.150
2025-04-21 17:43:55,192s,1664.741,15081.297,12.040
2025-04-21 17:44:11,192s,1720.406,16035.358,12.145
2025-04-21 17:44:27,192s,1698.972,15332.497,11.898
2025-04-21 17:44:44,192s,1625.412,14693.115,12.406
2025-04-21 17:44:59,192s,1625.451,14695.049,12.203
