timestamp,mode,keygen,sign,verify
2025-05-19 10:57:29,128f,25.030,583.611,34.589
2025-05-19 10:57:30,128f,24.876,603.292,34.588
2025-05-19 10:57:32,128f,25.148,589.031,34.544
2025-05-19 10:57:33,128f,25.040,592.213,34.353
2025-05-19 10:57:34,128f,24.552,582.998,34.018
2025-05-19 10:57:36,128f,25.187,582.392,33.698
2025-05-19 10:57:37,128f,25.420,583.765,35.037
2025-05-19 10:57:38,128f,27.703,580.585,34.513
2025-05-19 10:57:40,128f,24.649,585.978,34.137
2025-05-19 10:57:41,128f,24.705,578.074,34.186
2025-05-19 10:57:42,128f,26.541,584.035,36.877
2025-05-19 10:57:44,128f,24.909,579.634,34.407
2025-05-19 10:57:45,128f,24.542,575.274,34.193
2025-05-19 10:57:47,128f,24.865,579.038,33.953
2025-05-19 10:57:48,128f,24.738,575.643,34.055
2025-05-19 10:57:49,128f,24.839,584.421,34.576
2025-05-19 10:57:51,128f,25.253,587.540,34.963
2025-05-19 10:57:52,128f,25.054,581.763,34.458
2025-05-19 10:57:53,128f,24.852,583.311,34.336
2025-05-19 10:57:55,128f,24.764,582.542,33.941
2025-05-19 10:57:56,128f,24.808,576.209,34.218
2025-05-19 10:57:57,128f,26.449,586.147,36.734
2025-05-19 10:57:59,128f,24.998,582.934,34.421
2025-05-19 10:58:00,128f,24.574,582.454,34.484
2025-05-19 10:58:01,128f,24.492,577.283,38.059
2025-05-19 10:58:03,128f,25.052,583.849,34.497
2025-05-19 10:58:04,128f,24.884,584.925,34.431
2025-05-19 10:58:06,128f,24.628,581.107,33.641
2025-05-19 10:58:07,128f,24.433,579.887,35.567
2025-05-19 10:58:08,128f,25.757,587.376,36.042
2025-05-19 10:58:10,128f,25.463,581.254,38.275
2025-05-19 10:58:11,128f,24.570,590.169,33.828
2025-05-19 10:58:12,128f,24.911,583.498,34.667
2025-05-19 10:58:14,128f,24.994,588.926,34.177
2025-05-19 10:58:15,128f,25.357,595.527,34.943
2025-05-19 10:58:16,128f,24.662,576.864,34.145
2025-05-19 10:58:18,128f,24.925,582.213,34.307
2025-05-19 10:58:19,128f,24.898,583.120,33.896
2025-05-19 10:58:20,128f,24.939,585.287,35.011
2025-05-19 10:58:22,128f,24.973,585.011,35.096
2025-05-19 10:58:23,128f,25.138,587.889,34.931
2025-05-19 10:58:25,128f,24.625,575.981,37.847
2025-05-19 10:58:26,128f,24.862,577.579,34.766
2025-05-19 10:58:27,128f,24.933,577.155,33.568
2025-05-19 10:58:29,128f,24.354,577.771,34.104
2025-05-19 10:58:30,128f,25.698,596.187,35.000
2025-05-19 10:58:31,128f,25.277,591.577,34.727
2025-05-19 10:58:33,128f,28.445,583.675,34.082
2025-05-19 10:58:34,128f,25.266,584.391,34.324
2025-05-19 10:58:35,128f,24.773,581.156,34.457
2025-05-19 10:58:37,128f,25.149,590.721,39.089
2025-05-19 10:58:38,128f,24.955,580.375,34.689
2025-05-19 10:58:39,128f,25.055,581.708,34.178
2025-05-19 10:58:41,128f,24.668,583.426,34.167
2025-05-19 10:58:42,128f,24.839,577.410,33.743
2025-05-19 10:58:44,128f,24.488,577.338,33.793
2025-05-19 10:58:45,128f,25.341,589.033,34.054
2025-05-19 10:58:46,128f,25.124,582.216,34.527
