timestamp,mode,keygen,sign,verify,slow_rej,fast_rej
2025-05-20 13:46:51,3,0.151,0.696,0.148,3,3
2025-05-20 13:46:52,3,0.152,0.541,0.148,2,0
2025-05-20 13:46:53,3,0.149,0.643,0.147,1,0
2025-05-20 13:46:53,3,0.154,0.575,0.152,0,1
2025-05-20 13:46:54,3,0.151,0.802,0.148,3,6
2025-05-20 13:46:55,3,0.156,0.497,0.148,0,2
2025-05-20 13:46:56,3,0.149,0.584,0.149,0,0
2025-05-20 13:46:57,3,0.149,0.615,0.160,5,3
2025-05-20 13:46:58,3,0.152,0.694,0.156,0,0
2025-05-20 13:46:59,3,0.150,0.609,0.148,0,0
2025-05-20 13:46:59,3,0.148,0.631,0.148,1,0
