timestamp,mode,keygen,sign,verify
2025-05-19 01:17:19,128s,297.532,2339.843,2.751
2025-05-19 01:17:45,128s,293.663,2308.372,2.743
2025-05-19 01:18:12,128s,293.526,2309.908,2.705
2025-05-19 01:18:39,128s,295.486,2315.103,2.967
2025-05-19 01:19:06,128s,293.884,2313.327,2.786
2025-05-19 01:19:33,128s,293.396,2313.918,2.754
2025-05-19 01:19:59,128s,294.319,2314.356,2.677
2025-05-19 01:20:26,128s,293.518,2315.942,2.748
2025-05-19 01:20:54,128s,296.95,2390.145,2.744
2025-05-19 01:21:21,128s,295.913,2337.537,2.711
2025-05-19 01:21:48,128s,294.662,2318.889,2.713
2025-05-19 01:22:15,128s,294.871,2321.249,2.719
2025-05-19 01:22:42,128s,294.701,2313.565,2.703
2025-05-19 01:23:08,128s,294.487,2314.757,2.764
2025-05-19 01:23:35,128s,294.174,2314.512,2.77
2025-05-19 01:24:02,128s,294.372,2312.555,2.763
2025-05-19 01:24:29,128s,293.541,2311.152,2.7
2025-05-19 01:24:56,128s,294.368,2314.16,2.714
2025-05-19 01:25:23,128s,293.714,2312.958,2.69
2025-05-19 01:25:49,128s,295.876,2313.614,2.732
2025-05-19 01:26:16,128s,294.872,2311.651,2.769
2025-05-19 01:26:43,128s,294.096,2315.387,2.687
2025-05-19 01:27:10,128s,294.186,2317.831,2.736
2025-05-19 01:27:37,128s,294.603,2317.633,2.725
2025-05-19 01:28:03,128s,293.598,2310.793,2.735
2025-05-19 01:28:30,128s,293.536,2309.483,2.74
2025-05-19 01:28:57,128s,293.847,2313.785,2.783
2025-05-19 01:29:24,128s,293.398,2313.171,2.736
2025-05-19 01:29:51,128s,294.706,2310.756,2.702
2025-05-19 01:30:18,128s,294.714,2316.693,2.755
2025-05-19 01:30:44,128s,295.658,2313.865,2.727
2025-05-19 01:31:11,128s,294.799,2313.18,2.754
2025-05-19 01:31:38,128s,293.705,2311.718,2.763
2025-05-19 01:32:05,128s,295.218,2318.302,2.756
2025-05-19 01:32:32,128s,294.486,2313.174,2.731
2025-05-19 01:32:59,128s,294.793,2316.886,2.698
2025-05-19 01:33:25,128s,293.92,2313.394,2.704
2025-05-19 01:33:52,128s,293.703,2312.071,2.711
2025-05-19 01:34:19,128s,294.626,2327.314,2.783
2025-05-19 01:34:46,128s,294.266,2314.094,2.683
2025-05-19 01:35:13,128s,294.329,2315.222,2.769
2025-05-19 01:35:40,128s,295.444,2316.596,2.716
2025-05-19 01:36:07,128s,294.112,2314.958,2.744
2025-05-19 01:36:33,128s,294.5,2321.569,2.737
2025-05-19 01:37:00,128s,294.724,2319.267,2.876
2025-05-19 01:37:27,128s,296.707,2343.173,2.776
2025-05-19 01:37:54,128s,294.257,2329.141,2.711
2025-05-19 01:38:21,128s,294.229,2309.567,2.737
2025-05-19 01:38:48,128s,293.54,2311.872,2.737
2025-05-19 01:39:15,128s,294.581,2313.426,2.736
2025-05-19 01:39:42,128s,294.692,2312.76,2.77
2025-05-19 01:40:08,128s,294.871,2310.314,2.735
2025-05-19 01:40:35,128s,293.946,2315.483,2.742
2025-05-19 01:41:02,128s,295.239,2315.292,2.774
2025-05-19 01:41:29,128s,294.6,2315.223,2.673
2025-05-19 01:41:56,128s,294.498,2314.756,2.74
2025-05-19 01:42:23,128s,293.424,2311.919,2.799
2025-05-19 01:42:49,128s,294.077,2313.715,2.748
2025-05-19 01:43:16,128s,294.404,2313.159,2.759
2025-05-19 01:43:43,128s,293.419,2309.317,2.693
2025-05-19 01:44:10,128s,294.669,2316.546,2.746
2025-05-19 01:44:37,128s,293.67,2309.957,2.807
2025-05-19 01:45:04,128s,295.746,2330.518,2.721
2025-05-19 01:45:31,128s,294.024,2314.178,2.736
2025-05-19 01:45:57,128s,294.474,2315.139,2.723
2025-05-19 01:46:24,128s,294.04,2310.03,2.7
2025-05-19 01:46:51,128s,293.971,2314.935,2.709
2025-05-19 01:47:18,128s,293.123,2314.414,2.779
2025-05-19 01:47:45,128s,294.271,2313.699,2.692
2025-05-19 01:48:11,128s,294.702,2313.271,2.721
2025-05-19 01:48:38,128s,294.329,2311.146,2.806
2025-05-19 01:49:05,128s,294.959,2314.503,2.718
2025-05-19 01:49:32,128s,293.834,2315.774,2.727
2025-05-19 01:49:59,128s,293.638,2309.792,2.724
2025-05-19 01:50:26,128s,294.69,2314.784,2.737
2025-05-19 01:50:52,128s,293.348,2313.384,2.719
2025-05-19 01:51:19,128s,293.624,2317.869,2.769
2025-05-19 01:51:46,128s,293.3,2312.259,2.799
2025-05-19 01:52:13,128s,294.381,2316.415,2.732
2025-05-19 01:52:40,128s,294.27,2310.27,2.729
2025-05-19 01:53:07,128s,294.605,2314.8,2.707
2025-05-19 01:53:33,128s,294.831,2310.528,2.744
2025-05-19 01:54:00,128s,294.66,2313.425,2.727
2025-05-19 01:54:27,128s,294.319,2317.673,2.692
2025-05-19 01:54:54,128s,293.631,2310.439,2.772
2025-05-19 01:55:21,128s,295.078,2313.026,2.714
2025-05-19 01:55:48,128s,294.721,2314.775,2.771
2025-05-19 01:56:14,128s,293.804,2314.247,2.862
2025-05-19 01:56:41,128s,294.762,2313.046,2.691
2025-05-19 01:57:08,128s,293.696,2311.614,2.742
2025-05-19 01:57:35,128s,294.359,2312.87,2.729
2025-05-19 01:58:02,128s,293.946,2315.473,2.749
2025-05-19 01:58:28,128s,293.566,2309.735,2.73
2025-05-19 01:58:55,128s,293.78,2314.715,2.847
2025-05-19 01:59:22,128s,293.782,2311.824,2.695
2025-05-19 01:59:49,128s,293.779,2309.128,2.769
2025-05-19 02:00:16,128s,294.062,2310.325,2.724
2025-05-19 02:00:42,128s,293.18,2308.385,2.747
2025-05-19 02:01:09,128s,294.407,2311.059,2.764
2025-05-19 02:01:36,128s,293.721,2308.127,2.768
