timestamp,mode,keygen,sign,verify,rejections,ntru_timing,gauss_timing,fft_timing
2025-07-18 17:45:02,1024,57.255,16.324,0.131,0.0000,42.667,2.845,10.923
2025-07-18 17:45:04,1024,52.571,14.621,0.119,0.0000,39.056,2.581,10.168
