timestamp,mode,keygen,sign,verify
2025-05-19 12:53:04,192s,256.164,2291.269,2.089
2025-05-19 12:53:30,192s,255.108,2289.891,2.039
2025-05-19 12:53:57,192s,254.721,2291.765,2.053
2025-05-19 12:54:23,192s,254.709,2293.625,2.031
2025-05-19 12:54:49,192s,254.546,2287.679,2.061
2025-05-19 12:55:15,192s,255.737,2290.263,2.045
2025-05-19 12:55:41,192s,255.203,2292.604,2.1
2025-05-19 12:56:08,192s,254.792,2293.421,2.06
2025-05-19 12:56:34,192s,256.714,2295.917,2.067
2025-05-19 12:57:00,192s,254.651,2291.67,2.084
2025-05-19 12:57:26,192s,254.666,2289.864,2.071
2025-05-19 12:57:53,192s,254.626,2290.812,2.03
2025-05-19 12:58:19,192s,255.13,2293.311,2.045
2025-05-19 12:58:45,192s,255.572,2291.763,2.061
2025-05-19 12:59:11,192s,254.482,2287.199,2.058
2025-05-19 12:59:37,192s,254.686,2287.748,2.055
2025-05-19 13:00:03,192s,254.841,2292.887,2.044
2025-05-19 13:00:30,192s,254.871,2292.979,2.063
2025-05-19 13:00:56,192s,254.755,2293.911,2.055
2025-05-19 13:01:22,192s,255.329,2289.566,2.049
2025-05-19 13:01:48,192s,254.727,2290.362,2.094
2025-05-19 13:02:15,192s,255.173,2289.065,2.058
2025-05-19 13:02:41,192s,255.468,2292.6,2.046
2025-05-19 13:03:07,192s,255.81,2291.4,2.055
2025-05-19 13:03:33,192s,254.303,2285.363,2.047
2025-05-19 13:03:59,192s,254.42,2297.916,2.083
2025-05-19 13:04:26,192s,254.794,2291.101,2.206
2025-05-19 13:04:52,192s,254.88,2296.205,2.097
2025-05-19 13:05:18,192s,255.194,2289.986,2.068
2025-05-19 13:05:44,192s,255.708,2293.159,2.063
2025-05-19 13:06:10,192s,254.826,2292.956,2.025
2025-05-19 13:06:37,192s,254.93,2288.12,2.08
2025-05-19 13:07:03,192s,255.255,2291.406,2.106
2025-05-19 13:07:29,192s,255.615,2292.362,2.029
2025-05-19 13:07:55,192s,254.628,2291.552,2.09
2025-05-19 13:08:21,192s,254.506,2287.346,2.057
2025-05-19 13:08:48,192s,254.249,2287.54,2.058
2025-05-19 13:09:14,192s,255.172,2291.954,2.056
2025-05-19 13:09:40,192s,254.478,2291.095,2.08
2025-05-19 13:10:06,192s,254.554,2291.978,2.053
2025-05-19 13:10:32,192s,254.978,2291.437,2.056
2025-05-19 13:10:59,192s,255.102,2287.044,2.152
2025-05-19 13:11:25,192s,255.148,2291.291,2.017
2025-05-19 13:11:51,192s,255.553,2293.034,2.044
2025-05-19 13:12:17,192s,255.181,2291.567,2.079
2025-05-19 13:12:43,192s,255.143,2293.425,2.068
2025-05-19 13:13:09,192s,254.183,2285.631,2.023
2025-05-19 13:13:36,192s,255.606,2291.553,2.113
2025-05-19 13:14:02,192s,254.978,2294.128,2.089
2025-05-19 13:14:28,192s,257.256,2312.79,2.072
2025-05-19 13:14:54,192s,254.315,2282.8,2.051
2025-05-19 13:15:21,192s,254.706,2292.902,2.045
2025-05-19 13:15:47,192s,256.284,2289.196,2.069
2025-05-19 13:16:13,192s,255.008,2292.442,2.107
2025-05-19 13:16:39,192s,254.232,2286.611,2.057
2025-05-19 13:17:06,192s,256.025,2293.235,2.099
2025-05-19 13:17:32,192s,255.154,2287.607,2.058
2025-05-19 13:17:58,192s,255.324,2290.273,2.071
2025-05-19 13:18:24,192s,255.139,2292.155,2.056
2025-05-19 13:18:50,192s,254.631,2290.575,2.068
2025-05-19 13:19:17,192s,254.955,2296.184,2.1
2025-05-19 13:19:43,192s,253.964,2287.127,2.058
2025-05-19 13:20:09,192s,255.308,2296.768,2.043
2025-05-19 13:20:35,192s,255.743,2287.869,2.04
2025-05-19 13:21:01,192s,254.385,2287.494,2.104
2025-05-19 13:21:28,192s,255.317,2292.983,2.1
2025-05-19 13:21:54,192s,255.639,2288.488,2.061
2025-05-19 13:22:20,192s,255.23,2294.262,2.069
2025-05-19 13:22:46,192s,254.459,2289.337,2.045
2025-05-19 13:23:12,192s,255.215,2288.356,2.044
2025-05-19 13:23:39,192s,255.941,2294.592,2.171
2025-05-19 13:24:05,192s,255.418,2286.715,2.086
2025-05-19 13:24:31,192s,255.532,2301.113,2.051
2025-05-19 13:24:57,192s,254.697,2288.688,2.039
2025-05-19 13:25:23,192s,255.206,2286.696,2.057
2025-05-19 13:25:50,192s,255.445,2294.686,2.058
2025-05-19 13:26:16,192s,254.586,2287.911,2.021
2025-05-19 13:26:42,192s,255.308,2295.676,2.068
2025-05-19 13:27:08,192s,254.645,2287.605,2.052
2025-05-19 13:27:34,192s,255.247,2292.166,2.08
2025-05-19 13:28:01,192s,254.842,2290.174,2.071
2025-05-19 13:28:28,192s,262.904,2348.972,2.147
2025-05-19 13:28:54,192s,257.24,2301.539,2.072
2025-05-19 13:29:20,192s,255.015,2287.278,2.051
2025-05-19 13:29:46,192s,255.172,2291.383,2.079
2025-05-19 13:30:13,192s,255.082,2293.052,2.05
2025-05-19 13:30:39,192s,254.671,2288.156,2.045
2025-05-19 13:31:05,192s,255.405,2296.866,2.069
2025-05-19 13:31:31,192s,254.236,2289.22,2.032
2025-05-19 13:31:58,192s,255.371,2295.345,2.107
2025-05-19 13:32:24,192s,254.634,2288.244,2.037
2025-05-19 13:32:50,192s,254.765,2291.353,2.052
2025-05-19 13:33:16,192s,256.148,2293.963,2.084
2025-05-19 13:33:42,192s,254.598,2292.701,2.053
2025-05-19 13:34:09,192s,255.73,2296.247,2.05
2025-05-19 13:34:35,192s,255.34,2302.972,2.032
2025-05-19 13:35:01,192s,255.169,2290.228,2.081
2025-05-19 13:35:27,192s,255.487,2293.606,2.065
2025-05-19 13:35:53,192s,256.031,2289.02,2.055
2025-05-19 13:36:20,192s,254.915,2292.686,2.044
