Mode,KeyGen Time (ms),Sign Time (ms),Verify Time (ms),Avg znorm Rej,Avg lowbits Rej,Avg hintnorm Rej,Avg hintcount Rej,RejTime z_norm (ms),RejTime z_norm_overhead (ms),RejTime lowbits (ms),RejTime lowbits_overhead (ms),RejTime hint_count (ms),RejTime hint_count_overhead (ms)
2,0.082,0.444,0.093,19.75,12.81,0.0,0.09,0.0,0.061,0.0,0.077,0.0,0.093
3,0.141,0.654,0.14,20.26,21.58,0.0,0.02,0.0,0.078,0.0,0.096,,
5,0.214,0.817,0.232,12.84,16.15,0.0,0.05,0.001,0.125,0.0,0.156,,
