timestamp,mode,keygen,sign,verify
2025-04-21 17:30:48,192s,3217.974,28216.694,24.584
2025-04-21 17:31:18,192s,3259.281,28497.854,24.829
2025-04-21 17:31:49,192s,3476.357,28920.773,27.005
2025-04-21 17:32:19,192s,3192.611,28048.148,24.910
2025-04-21 17:32:49,192s,3188.035,28109.781,24.517
2025-04-21 17:33:19,192s,3296.856,28261.621,24.386
2025-04-21 17:33:49,192s,3207.016,28204.762,24.169
2025-04-21 17:34:19,192s,3233.933,28439.606,24.428
2025-04-21 17:34:48,192s,3264.885,28135.963,24.834
2025-04-21 17:35:19,192s,3281.925,29254.229,27.192
